City,State,Latitude,Longitude
Baton Rouge,LA,30.4433,-91.1875
Bay Shore,NY,40.7251,-73.2454
Bayshore Gardens,FL,27.4253,-82.5904
Baytown,TX,29.7355,-94.9774
Bayville,NJ,39.9093,-74.1549
Bear,DE,39.6293,-75.6583
Beaumont,TX,30.0861,-94.1018
Bedford,TX,32.8440,-97.1431
Bel Air North,MD,39.5543,-76.3731
Bel Air South,MD,39.5051,-76.3198
Bellflower,CA,33.8817,-118.1170
Bellwood,IL,41.8814,-87.8831
Belmont,MA,42.3959,-71.1787
Belvidere,IL,42.2639,-88.8443
Bensalem,PA,40.1046,-74.9513
Bensenville,IL,41.9550,-87.9401
Bensonhurst,NY,40.6018,-73.9940
Berea,OH,41.3662,-81.8543
Berwyn,IL,41.8506,-87.7937
Bethel Park,PA,40.3276,-80.0395
Bethlehem,PA,40.6259,-75.3705
Beverly,MA,42.5584,-70.8800
Beverly Cove,MA,42.5534,-70.8537
Big Spring,TX,32.2504,-101.4787
Billings,MT,45.7833,-108.5007
Blacksburg,VA,37.2296,-80.4139
Bloomingdale,IL,41.9575,-88.0809
Bloomington,MN,44.8408,-93.2983
Bluffton,SC,32.2371,-80.8604
Blythe,CA,33.6103,-114.5964
Boca Del Mar,FL,26.3451,-80.1467
Bolingbrook,IL,41.6986,-88.0684
Bonney Lake,WA,47.1771,-122.1865
Bowie,MD,38.9428,-76.7303
Bradley,IL,41.1420,-87.8611
Brandon,MS,32.2732,-89.9859
Branford,CT,41.2795,-72.8151
Brentwood,NY,40.7812,-73.2462
Brentwood Estates,TN,36.0251,-86.7792
Brick,NJ,40.0593,-74.1371
Bridgeport,CT,41.1792,-73.1894
Brighton,CO,39.9853,-104.8205
Broadview Heights,OH,41.3139,-81.6851
Brookfield,WI,43.0606,-88.1065
Brookhaven,GA,33.8584,-84.3402
Brookings,SD,44.3114,-96.7984
Brooklyn,NY,40.6501,-73.9496
Brooklyn Center,MN,45.0761,-93.3327
Brooklyn Park,MN,45.0941,-93.3563
Brownsburg,IN,39.8434,-86.3978
Brownsville,NY,40.6609,-73.9201
Brownsville,TX,25.9017,-97.4975
Brunswick,GA,31.1501,-81.4915
Bryan,TX,30.6744,-96.3700
Bryn Mawr-Skyway,WA,47.4943,-122.2409
Buckeye,AZ,33.3703,-112.5838
Buena Park,CA,33.8675,-117.9981
Burlington,IA,40.8075,-91.1129
Calabasas,CA,34.1578,-118.6384
Calumet City,IL,41.6156,-87.5295
Camarillo,CA,34.2164,-119.0376
Cambria Heights,NY,40.6945,-73.7385
Cameron Park,CA,38.6688,-120.9872
Canarsie,NY,40.6437,-73.9007
Canton,MA,42.1584,-71.1448
Canton,OH,40.7989,-81.3785
Carbondale,IL,37.7273,-89.2168
Carmel,IN,39.9784,-86.1180
Carmichael,CA,38.6171,-121.3283
Carpentersville,IL,42.1211,-88.2579
Carrollwood Village,FL,28.0675,-82.5209
Carson City,NV,39.1638,-119.7674
Casa de Oro-Mount Helix,CA,32.7640,-116.9688
Castlewood,CO,39.5847,-104.9011
Cathedral City,CA,33.7797,-116.4653
Catonsville,MD,39.2721,-76.7319
Cedar Hill,TX,32.5885,-96.9561
Centereach,NY,40.8584,-73.0995
Centerville,UT,40.9180,-111.8722
Ceres,CA,37.5949,-120.9577
Chambersburg,PA,39.9376,-77.6611
Chamblee,GA,33.8920,-84.2988
Chandler,AZ,33.3062,-111.8413
Chanhassen,MN,44.8622,-93.5308
Chantilly,VA,38.8943,-77.4311
Chapel Hill,NC,35.9132,-79.0558
Charlottesville,VA,38.0293,-78.4767
Chaska,MN,44.7894,-93.6022
Chatsworth,CA,34.2572,-118.6012
Chattanooga,TN,35.0456,-85.3097
Chelmsford,MA,42.5998,-71.3673
Chesapeake,VA,36.8190,-76.2749
Chester,VA,37.3568,-77.4416
Chicago Heights,IL,41.5061,-87.6356
Chickasha,OK,35.0526,-97.9364
Chillicothe,OH,39.3331,-82.9824
Chula Vista,CA,32.6401,-117.0842
Cibolo,TX,29.5616,-98.2270
Cicero,IL,41.8456,-87.7539
Cimarron Hills,CO,38.8586,-104.6989
Citrus Park,FL,28.0784,-82.5698
Claremont,CA,34.0967,-117.7198
Claremore,OK,36.3126,-95.6161
Clarksville,TN,36.5298,-87.3594
Clayton,MO,38.6425,-90.3237
Clearfield,UT,41.1108,-112.0260
Clearlake,CA,38.9582,-122.6264
Clearwater,FL,27.9658,-82.8001
Clemmons,NC,36.0215,-80.3820
Clermont,FL,28.5494,-81.7729
Clinton,MD,38.7651,-76.8983
Clinton,MS,32.3415,-90.3218
Cloverly,MD,39.1082,-76.9977
Clovis,NM,34.4048,-103.2052
Cocoa,FL,28.3861,-80.7420
Coconut Creek,FL,26.2518,-80.1789
Colton,CA,34.0739,-117.3136
Compton,CA,33.8959,-118.2201
Conroe,TX,30.3119,-95.4561
Conway,AR,35.0887,-92.4421
Conway,SC,33.8360,-79.0478
Cookeville,TN,36.1628,-85.5016
Coon Rapids,MN,45.1200,-93.2877
Copperas Cove,TX,31.1241,-97.9031
Coral Springs,FL,26.2712,-80.2706
Cordova,TN,35.1557,-89.7762
Corona,CA,33.8753,-117.5664
Corona,NY,40.7471,-73.8601
Cortland,NY,42.6012,-76.1805
Cottage Grove,MN,44.8277,-92.9438
Cottonwood Heights,UT,40.6197,-111.8102
Country Walk,FL,25.6340,-80.4323
Cranberry Township,PA,40.6850,-80.1071
Crawfordsville,IN,40.0412,-86.8744
Cumberland,RI,41.9668,-71.4328
Cutler,FL,25.6151,-80.3106
Cutler Bay,FL,25.5783,-80.3377
Cutler Ridge,FL,25.5807,-80.3467
Cypress,CA,33.8170,-118.0373
Daly City,CA,37.7058,-122.4619
Damascus,MD,39.2884,-77.2039
Danville,CA,37.8216,-122.0000
Danville,IL,40.1245,-87.6300
Darien,IL,41.7520,-87.9740
Davis,CA,38.5449,-121.7405
Daytona Beach,FL,29.2108,-81.0228
Dearborn,MI,42.3223,-83.1763
Decatur,AL,34.6059,-86.9833
Deer Park,TX,29.7052,-95.1238
Deer Valley,AZ,33.6839,-112.1349
Deerfield Beach,FL,26.3184,-80.0998
Defiance,OH,41.2845,-84.3558
Delano,CA,35.7688,-119.2471
Delaware,OH,40.2987,-83.0680
Denville,NJ,40.8923,-74.4774
Derry,NH,42.8806,-71.3273
Detroit-Shoreway,OH,41.4777,-81.7299
Dickinson,TX,29.4608,-95.0513
Dinuba,CA,36.5433,-119.3871
Dixiana,AL,33.7402,-86.6494
Dolton,IL,41.6389,-87.6073
Donna,TX,26.1703,-98.0520
Doral,FL,25.8195,-80.3553
Douglasville,GA,33.7515,-84.7477
Dover,NJ,40.8840,-74.5621
Downers Grove,IL,41.8089,-88.0112
Downey,CA,33.9400,-118.1326
Drexel Heights,AZ,32.1412,-111.0284
Dublin,OH,40.0992,-83.1141
Duncan,OK,34.5023,-97.9578
Dunedin,FL,28.0199,-82.7732
Durham,NC,35.9940,-78.8986
Eagle Mountain,UT,40.3141,-112.0069
Easley,SC,34.8298,-82.6015
East Hartford,CT,41.7823,-72.6120
East Hill-Meridian,WA,47.4105,-122.1737
East Honolulu,HI,21.2891,-157.7173
East Independence,MO,39.0956,-94.3552
East Lake,FL,28.1108,-82.6948
East Massapequa,NY,40.6734,-73.4365
East Meadow,NY,40.7140,-73.5590
East Moline,IL,41.5009,-90.4443
East Mount Airy,PA,40.0645,-75.1875
East Naples,FL,26.1384,-81.7665
East Norwalk,CT,41.1056,-73.3984
East Pensacola Heights,FL,30.4288,-87.1800
East Peoria,IL,40.6662,-89.5801
East Rancho Dominguez,CA,33.8981,-118.1954
Eastlake,OH,41.6539,-81.4504
Eastmont,WA,47.8974,-122.1815
Easton,MD,38.7743,-76.0763
Edgewater,FL,28.9889,-80.9023
Edinburg,TX,26.3017,-98.1633
Edmond,OK,35.6528,-97.4781
Edwardsville,IL,38.8114,-89.9532
El Cerrito,CA,37.9158,-122.3116
El Mirage,AZ,33.6131,-112.3246
El Reno,OK,35.5323,-97.9550
Elk Grove,CA,38.4088,-121.3716
Elk River,MN,45.3038,-93.5672
Elko,NV,40.8324,-115.7631
Ellicott City,MD,39.2673,-76.7983
Elmwood Park,NJ,40.9040,-74.1185
Eloise,FL,27.9947,-81.7381
Elyria,OH,41.3684,-82.1077
Emporia,KS,38.4039,-96.1817
Enfield,CT,41.9762,-72.5918
Englewood,CO,39.6478,-104.9878
Erlanger,KY,39.0167,-84.6008
Estero,FL,26.4381,-81.8067
Evans,GA,33.5337,-82.1307
Everett,WA,47.9790,-122.2021
Fair Oaks,CA,38.6446,-121.2722
Fairbanks,AK,64.8378,-147.7164
Fairfield,CT,41.1412,-73.2637
Fairfield,OH,39.3459,-84.5605
Fairview Park,OH,41.4414,-81.8643
Faribault,MN,44.2950,-93.2688
Farmers Branch,TX,32.9265,-96.8961
Farmington,MN,44.6402,-93.1436
Farmington,UT,40.9805,-111.8874
Farragut,TN,35.8845,-84.1535
Fayetteville,AR,36.0626,-94.1574
Fayetteville,GA,33.4487,-84.4549
Findlay,OH,41.0442,-83.6499
Fishers,IN,39.9556,-86.0139
Flatbush,NY,40.6521,-73.9590
Fleming Island,FL,30.0933,-81.7190
Florence,AZ,33.0314,-111.3873
Florissant,MO,38.7892,-90.3226
Flower Mound,TX,33.0146,-97.0970
Flowing Wells,AZ,32.2940,-111.0098
Folsom,CA,38.6780,-121.1761
Fords,NJ,40.5293,-74.3160
Forest Lake,MN,45.2789,-92.9852
Forest Park,GA,33.6221,-84.3691
Forney,TX,32.7482,-96.4719
Fort Collins,CO,40.5853,-105.0844
Fort Dodge,IA,42.4975,-94.1680
Fort Hunt,VA,38.7329,-77.0580
Fort Myers,FL,26.6217,-81.8406
Fort Walton Beach,FL,30.4206,-86.6171
Fountain,CO,38.6822,-104.7008
Four Corners,OR,44.9279,-122.9837
Framingham Center,MA,42.2973,-71.4370
Frankfort,IL,41.4959,-87.8487
Frankfort,KY,38.2009,-84.8733
Franklin,MA,42.0834,-71.3967
Frederick,MD,39.4143,-77.4105
Freeport,NY,40.6576,-73.5832
Fremont,NE,41.4333,-96.4981
Fresh Meadows,NY,40.7348,-73.7935
Fridley,MN,45.0861,-93.2633
Friendswood,TX,29.5294,-95.2010
Front Royal,VA,38.9182,-78.1944
Gadsden,AL,34.0143,-86.0064
Gainesville,TX,33.6259,-97.1333
Gaithersburg,MD,39.1434,-77.2014
Gallatin,TN,36.3884,-86.4467
Garden City,KS,37.9717,-100.8727
Garden Grove,CA,33.7739,-117.9415
Gardner,KS,38.8108,-94.9272
Gary,IN,41.5934,-87.3464
Gatesville,TX,31.4352,-97.7439
Gautier,MS,30.3858,-88.6117
Georgetown,KY,38.2098,-84.5588
Gilbert,AZ,33.3528,-111.7890
Gillette,WY,44.2911,-105.5022
Glastonbury,CT,41.7123,-72.6081
Glen Avon,CA,34.0117,-117.4848
Glen Ellyn,IL,41.8775,-88.0670
Glendale,AZ,33.5386,-112.1860
Glendora,CA,34.1361,-117.8653
Glenvar Heights,FL,25.7076,-80.3256
Glenview,IL,42.0697,-87.7878
Glenville,NY,42.9292,-74.0521
Gloversville,NY,43.0528,-74.3438
Golden,CO,39.7555,-105.2211
Golden Glades,FL,25.9118,-80.2003
Golden Valley,MN,45.0097,-93.3491
Goleta,CA,34.4358,-119.8276
Goodings Grove,IL,41.6292,-87.9309
Goose Creek,SC,32.9810,-80.0326
Grafton,MA,42.2070,-71.6856
Graham,WA,47.0529,-122.2943
Graniteville,NY,40.6248,-74.1485
Great Falls,MT,47.5002,-111.3008
Great Kills,NY,40.5543,-74.1515
Green Bay,WI,44.5192,-88.0198
Greenfield,MA,42.5876,-72.5995
Greensboro,NC,36.0726,-79.7920
Greenville,SC,34.8526,-82.3940
Greenwood,MS,33.5162,-90.1795
Greenwood Village,CO,39.6172,-104.9508
Griffith,IN,41.5284,-87.4236
Grosse Pointe Woods,MI,42.4436,-82.9069
Groves,TX,29.9483,-93.9171
Gulfport,MS,30.3674,-89.0928
Hacienda Heights,CA,33.9931,-117.9687
Hallandale Beach,FL,25.9812,-80.1484
Ham Lake,MN,45.2502,-93.2499
Hamden,CT,41.3959,-72.8968
Hammond,LA,30.5046,-90.4629
Hanford,CA,36.3274,-119.6457
Haslett,MI,42.7470,-84.4011
Hastings,NE,40.5861,-98.3884
Hattiesburg,MS,31.3271,-89.2903
Hays,KS,38.8792,-99.3268
Hayward,CA,37.6688,-122.0808
Henderson,KY,37.8362,-87.5900
Hereford,TX,34.8152,-102.3993
Hermiston,OR,45.8404,-119.2895
Herndon,VA,38.9695,-77.3861
Herriman,UT,40.5141,-112.0330
Hesperia,CA,34.4264,-117.3009
Hickory,NC,35.7332,-81.3412
Highland,UT,40.4255,-111.7945
Highland Springs,VA,37.5460,-77.3278
Highland Village,TX,33.0918,-97.0467
Hobart,IN,41.5323,-87.2550
Hobbs,NM,32.7026,-103.1360
Hoffman Estates,IL,42.0428,-88.0798
Holden,MA,42.3518,-71.8634
Holladay,UT,40.6688,-111.8247
Hollister,CA,36.8524,-121.4016
Holly Springs,NC,35.6513,-78.8336
Holtsville,NY,40.8154,-73.0451
Homewood,IL,41.5573,-87.6656
Hope Mills,NC,34.9704,-78.9453
Hopewell,VA,37.3043,-77.2872
Howard,WI,44.5436,-88.0882
Howard Beach,NY,40.6579,-73.8363
Humble,TX,29.9988,-95.2622
Hunt Valley,MD,39.4998,-76.6411
Huntington,IN,40.8831,-85.4975
Huntley,IL,42.1681,-88.4281
Huntsville,AL,34.7304,-86.5859
Hybla Valley,VA,38.7476,-77.0830
Immokalee,FL,26.4187,-81.4173
Indian Trail,NC,35.0768,-80.6692
Indianola,IA,41.3580,-93.5574
Inglewood-Finn Hill,WA,47.7205,-122.2317
Iona,FL,26.5204,-81.9640
Irvine,CA,33.6695,-117.8231
Irving,TX,32.8140,-96.9489
Irving Park,IL,41.9534,-87.7365
Islip,NY,40.7298,-73.2104
Issaquah,WA,47.5301,-122.0326
Jamaica,NY,40.6915,-73.8057
Jamestown,NY,42.0970,-79.2353
Janesville,WI,42.6828,-89.0187
Jasmine Estates,FL,28.2931,-82.6901
Jasper,IN,38.3914,-86.9311
Jefferson City,MO,38.5767,-92.1735
Jeffersontown,KY,38.1942,-85.5644
Johnston,RI,41.8219,-71.5067
Johnstown,PA,40.3267,-78.9220
Joint Base Pearl Harbor Hickam,HI,21.3491,-157.9471
Jonesboro,AR,35.8423,-90.7043
Junction City,KS,39.0286,-96.8314
Jupiter,FL,26.9342,-80.0942
Kahului,HI,20.8893,-156.4729
Kalamazoo,MI,42.2917,-85.5872
Kaukauna,WI,44.2780,-88.2720
Kearney,NE,40.6995,-99.0815
Kearns,UT,40.6600,-111.9963
Keene,NH,42.9337,-72.2781
Kendale Lakes,FL,25.7082,-80.4070
Kennesaw,GA,34.0234,-84.6155
Kensington,NY,40.6462,-73.9707
Kent,OH,41.1537,-81.3579
Kent,WA,47.3809,-122.2348
Kentwood,MI,42.8695,-85.6448
Kernersville,NC,36.1199,-80.0737
Kettering,OH,39.6895,-84.1688
Killeen,TX,31.1171,-97.7278
King of Prussia,PA,40.0893,-75.3960
Kings Bridge,NY,40.8787,-73.9051
Kings Park,NY,40.8862,-73.2573
Kingston,NY,41.9270,-73.9974
Kingsville,TX,27.5159,-97.8561
Kyle,TX,29.9891,-97.8772
La Palma,CA,33.8464,-118.0467
La Quinta,CA,33.6634,-116.3100
La Verne,CA,34.1008,-117.7678
Lacey,WA,47.0343,-122.8232
Laguna,CA,38.4210,-121.4238
Laguna Niguel,CA,33.5225,-117.7075
Laguna Woods,CA,33.6103,-117.7253
Lake Butler,FL,28.5017,-81.5409
Lake Charles,LA,30.2131,-93.2044
Lake Elsinore,CA,33.6681,-117.3273
Lake Forest,CA,33.6470,-117.6892
Lake Havasu City,AZ,34.4839,-114.3225
Lake Jackson,TX,29.0339,-95.4344
Lake Magdalene,FL,28.0742,-82.4718
Lake Oswego,OR,45.4207,-122.6706
Lake Ronkonkoma,NY,40.8351,-73.1312
Lake Shore,MD,39.1071,-76.4850
Lake Stevens,WA,48.0151,-122.0637
Lake Worth Beach,FL,26.6171,-80.0723
Lake in the Hills,IL,42.1817,-88.3304
Lakeville,MN,44.6497,-93.2427
Lakewood,NJ,40.0979,-74.2176
Lakewood,WA,47.1718,-122.5185
Lancaster,OH,39.7137,-82.5993
Lansing,MI,42.7325,-84.5555
Las Cruces,NM,32.3123,-106.7783
Lauderhill,FL,26.1404,-80.2134
Laurel,MD,39.0993,-76.8483
Lawndale,CA,33.8872,-118.3526
Leavenworth,KS,39.3111,-94.9225
Lebanon,IN,40.0484,-86.4692
Lebanon,PA,40.3409,-76.4113
Lebanon,TN,36.2081,-86.2911
Lee's Summit,MO,38.9108,-94.3822
Lehigh Acres,FL,26.6254,-81.6248
Lemay,MO,38.5334,-90.2793
Lemon Grove,CA,32.7426,-117.0314
Lemont,IL,41.6736,-88.0017
Lenoir,NC,35.9140,-81.5390
Lents,OR,45.4798,-122.5673
Lexington,KY,37.9887,-84.4777
Lima,OH,40.7426,-84.1052
Lincoln Square,IL,41.9759,-87.6892
Lincolnia,VA,38.8184,-77.1433
Lindenwold,NJ,39.8243,-74.9977
Lisle,IL,41.8011,-88.0748
Live Oak,CA,36.9836,-121.9805
Livermore,CA,37.6819,-121.7680
Logan,UT,41.7355,-111.8344
Lompoc,CA,34.6392,-120.4579
Long Branch,NJ,40.3043,-73.9924
Longview,WA,46.1382,-122.9382
Los Banos,CA,37.0583,-120.8499
Los Gatos,CA,37.2266,-121.9747
Loveland,CO,40.3978,-105.0750
Loves Park,IL,42.3200,-89.0582
Lynbrook,NY,40.6548,-73.6718
Lynchburg,VA,37.4138,-79.1423
Lynn,MA,42.4668,-70.9495
Lynn Haven,FL,30.2455,-85.6483
Madera,CA,36.9613,-120.0607
Madison,MS,32.4618,-90.1154
Madison Heights,MI,42.4859,-83.1052
Mahwah,NJ,41.0887,-74.1438
Maitland,FL,28.6278,-81.3631
Mamaroneck,NY,40.9487,-73.7326
Mandan,ND,46.8267,-100.8896
Manitowoc,WI,44.0886,-87.6576
Mankato,MN,44.1591,-94.0092
Maple Grove,MN,45.0725,-93.4558
Marblehead,MA,42.5001,-70.8578
Maricopa,AZ,33.0581,-112.0476
Marlboro,NJ,40.3154,-74.2463
Marlborough,MA,42.3459,-71.5523
Marshall,TX,32.5449,-94.3674
Martha Lake,WA,47.8509,-122.2393
Martinez,CA,38.0194,-122.1341
Martinez,GA,33.5174,-82.0757
Maryvale,AZ,33.5020,-112.1776
Maryville,TN,35.7565,-83.9705
Mason City,IA,43.1536,-93.2010
Mastic,NY,40.8020,-72.8409
Matthews,NC,35.1168,-80.7237
Maywood,IL,41.8792,-87.8431
McAlester,OK,34.9334,-95.7697
McHenry,IL,42.3334,-88.2668
McLean,VA,38.9343,-77.1775
Mead Valley,CA,33.8334,-117.2961
Meadow Woods,FL,28.3856,-81.3665
Mechanicsville,VA,37.6088,-77.3733
Medford,OR,42.3265,-122.8756
Medina,OH,41.1384,-81.8637
Melbourne,FL,28.0836,-80.6081
Melrose,MA,42.4584,-71.0662
Menifee,CA,33.7283,-117.1464
Menomonie,WI,44.8755,-91.9193
Mequon,WI,43.2156,-88.0300
Merced,CA,37.3022,-120.4830
Merrick,NY,40.6629,-73.5515
Merrimack,NH,42.8651,-71.4934
Miami Lakes,FL,25.9087,-80.3087
Middleborough,MA,41.8932,-70.9112
Middleton,WI,43.0972,-89.5043
Middletown,CT,41.5623,-72.6506
Middletown,OH,39.5151,-84.3983
Middletown,RI,41.5457,-71.2914
Midland,TX,31.9974,-102.0779
Midlothian,TX,32.4824,-96.9945
Mililani Mauka,HI,21.4779,-157.9945
Mill Creek,WA,47.8601,-122.2043
Millburn,NJ,40.7248,-74.3040
Millville,NJ,39.4021,-75.0393
Milton,MA,42.2495,-71.0662
Minnetonka,MN,44.9133,-93.5033
Minnetonka Mills,MN,44.9411,-93.4419
Mint Hill,NC,35.1796,-80.6473
Mira Mesa,CA,32.9156,-117.1439
Miramar,FL,25.9873,-80.2323
Mitchell,SD,43.7094,-98.0298
Monroe,MI,41.9164,-83.3977
Monroe,NC,34.9854,-80.5495
Monroeville,PA,40.4212,-79.7881
Monsey,NY,41.1112,-74.0685
Montclair,NJ,40.8259,-74.2090
Montclair,VA,38.6110,-77.3397
Montebello,CA,34.0095,-118.1054
Montrose,CO,38.4783,-107.8762
Moorpark,CA,34.2856,-118.8820
Moraga,CA,37.8349,-122.1297
Morganton,NC,35.7454,-81.6848
Morristown,NJ,40.7968,-74.4815
Morrisville,NC,35.8235,-78.8256
Moses Lake,WA,47.1301,-119.2781
Mount Clemens,MI,42.5973,-82.8780
Mount Laurel,NJ,39.9340,-74.8910
Mount Pleasant,MI,43.5978,-84.7675
Mount Pleasant,WI,42.6974,-87.8558
Mount Vernon,NY,40.9126,-73.8371
Mountlake Terrace,WA,47.7882,-122.3087
Munster,IN,41.5645,-87.5125
Murfreesboro,TN,35.8456,-86.3903
Murphy,TX,33.0151,-96.6131
Murray,UT,40.6669,-111.8880
Mustang,OK,35.3842,-97.7245
Napa,CA,38.2971,-122.2855
Naples,FL,26.1423,-81.7960
Narragansett,RI,41.4501,-71.4495
Natchez,MS,31.5602,-91.4033
Natchitoches,LA,31.7607,-93.0863
National City,CA,32.6781,-117.0992
Navarre,FL,30.4016,-86.8636
